time,close,index,duration,epsilon,capital,episode,step,position,entry_price,exit_price,trade_len,pnl_ratio
2020-09-06 19:00:00,10204.71,173.0,0.72,inf,10030.81,1.0,3.0,1.0,10173.37,10204.71,2.0,0.31
2020-09-07 04:00:00,10209.33,182.0,2.97,1.0,10011.27,2.0,8.0,1.0,10229.25,10209.33,6.0,-0.19
2020-09-07 10:00:00,10139.07,188.0,3.56,0.3676,10042.32,3.0,5.0,-1.0,10170.61,10139.07,4.0,0.31
2020-09-07 13:00:00,10026.46,191.0,1.69,0.2047,10086.63,4.0,2.0,-1.0,10070.9,10026.46,1.0,0.44
2020-09-07 21:00:00,10148.47,199.0,7.4,0.1351,10158.39,5.0,7.0,1.0,10076.78,10148.47,6.0,0.71
2020-09-08 02:00:00,10319.95,204.0,5.1,0.0979,10321.16,6.0,4.0,1.0,10157.2,10319.95,3.0,1.6
2020-09-08 10:00:00,10172.79,212.0,10.21,0.0753,10156.01,7.0,7.0,1.0,10338.21,10172.79,6.0,-1.6
2020-09-08 18:00:00,10151.0,220.0,12.2,0.0602,10262.29,8.0,7.0,1.0,10045.88,10151.0,6.0,1.05
2020-09-08 22:00:00,10014.38,224.0,5.75,0.0497,10296.74,9.0,3.0,1.0,9980.87,10014.38,2.0,0.34
2020-09-09 04:00:00,9994.53,230.0,10.32,0.0419,10431.08,10.0,5.0,-1.0,10126.65,9994.53,3.0,1.3
2020-09-09 12:00:00,10171.92,238.0,16.0,0.036000000000000004,10534.88,11.0,7.0,1.0,10071.7,10171.92,6.0,1.0
2020-09-09 20:00:00,10326.38,246.0,16.85,0.0314,10651.18,12.0,7.0,1.0,10213.62,10326.38,5.0,1.1
2020-09-09 23:00:00,10235.99,249.0,5.1,0.0277,10667.66,13.0,2.0,-1.0,10251.85,10235.99,1.0,0.15
2020-09-10 07:00:00,10374.58,257.0,19.15,0.0246,10829.86,14.0,7.0,1.0,10219.2,10374.58,6.0,1.52
2020-09-10 14:00:00,10362.04,264.0,18.01,0.0221,10921.29,15.0,6.0,1.0,10275.29,10362.04,5.0,0.84
2020-09-10 20:00:00,10282.61,270.0,16.38,0.02,10834.44,16.0,5.0,1.0,10365.04,10282.61,4.0,-0.8
2020-09-11 00:00:00,10343.38,274.0,10.43,0.0183,10783.88,17.0,3.0,-1.0,10295.34,10343.38,2.0,-0.47
2020-09-11 06:00:00,10223.57,280.0,18.55,0.0167,10904.41,18.0,5.0,-1.0,10339.13,10223.57,4.0,1.12
2020-09-11 14:00:00,10289.42,288.0,27.1,0.0154,10899.97,19.0,7.0,1.0,10293.61,10289.42,4.0,-0.04
2020-09-11 18:00:00,10306.36,292.0,12.08,0.0143,10917.88,20.0,3.0,1.0,10289.46,10306.36,2.0,0.16
2020-09-11 22:00:00,10322.55,296.0,12.66,0.0132,10927.83,21.0,3.0,1.0,10313.15,10322.55,2.0,0.09
2020-09-12 06:00:00,10358.95,304.0,30.65,0.0123,10927.23,22.0,7.0,1.0,10359.52,10358.95,6.0,-0.01
2020-09-12 14:00:00,10319.74,312.0,32.54,0.0115,10915.22,23.0,7.0,1.0,10331.09,10319.74,6.0,-0.11
2020-09-12 22:00:00,10438.32,320.0,35.85,0.0108,11010.73,24.0,7.0,1.0,10347.78,10438.32,6.0,0.87
2020-09-13 01:00:00,10440.92,323.0,10.43,0.0102,11017.01,25.0,2.0,1.0,10434.97,10440.92,1.0,0.06
2020-09-13 06:00:00,10539.33,328.0,21.94,0.0096,10892.91,26.0,4.0,-1.0,10421.94,10539.33,3.0,-1.13
2020-09-13 09:00:00,10542.27,331.0,10.93,0.0091,10873.52,27.0,2.0,-1.0,10523.53,10542.27,1.0,-0.18
2020-09-13 17:00:00,10280.14,339.0,40.45,0.0086,10641.77,28.0,7.0,1.0,10504.01,10280.14,6.0,-2.13
2020-09-14 00:00:00,10306.66,346.0,35.03,0.0081,10639.3,29.0,6.0,1.0,10309.05,10306.66,3.0,-0.02
2020-09-14 04:00:00,10348.7,350.0,17.89,0.0077,10561.2,30.0,3.0,-1.0,10273.28,10348.7,2.0,-0.73
